frame_id,date,model,ai_count,in_training
CAMHDA301-20230214T031500,2023-02-14,v2,15,False
CAMHDA301-20230214T061500,2023-02-14,v2,13,False
CAMHDA301-20230214T091500,2023-02-14,v2,13,False
CAMHDA301-20230214T121500,2023-02-14,v2,7,False
CAMHDA301-20230214T151500,2023-02-14,v2,2,False
CAMHDA301-20230214T181500,2023-02-14,v2,8,False
CAMHDA301-20230214T211500,2023-02-14,v2,15,False
CAMHDA301-20230221T001500,2023-02-21,v2,9,False
CAMHDA301-20230221T031500,2023-02-21,v2,19,False
CAMHDA301-20230221T061500,2023-02-21,v2,24,False
CAMHDA301-20230221T091500,2023-02-21,v2,14,False
CAMHDA301-20230221T121500,2023-02-21,v2,16,False
CAMHDA301-20230221T151500,2023-02-21,v2,23,False
CAMHDA301-20230221T181500,2023-02-21,v2,14,False
CAMHDA301-20230221T211500,2023-02-21,v2,10,False
CAMHDA301-20230228T001500,2023-02-28,v2,20,False
CAMHDA301-20230228T031500,2023-02-28,v2,0,False
CAMHDA301-20230228T061500,2023-02-28,v2,10,False
CAMHDA301-20230228T091500,2023-02-28,v2,15,False
CAMHDA301-20230228T121500,2023-02-28,v2,17,False
CAMHDA301-20230228T151500,2023-02-28,v2,7,False
CAMHDA301-20230228T181500,2023-02-28,v2,6,False
CAMHDA301-20230228T211500,2023-02-28,v2,13,False
CAMHDA301-20230307T031500,2023-03-07,v2,18,False
CAMHDA301-20230307T061500,2023-03-07,v2,12,False
CAMHDA301-20230307T091500,2023-03-07,v2,7,False
CAMHDA301-20230307T121500,2023-03-07,v2,18,False
CAMHDA301-20230307T151500,2023-03-07,v2,17,False
CAMHDA301-20230307T211500,2023-03-07,v2,8,False
CAMHDA301-20230314T031500,2023-03-14,v2,16,False
CAMHDA301-20230314T061500,2023-03-14,v2,16,False
CAMHDA301-20230314T121500,2023-03-14,v2,5,False
CAMHDA301-20230314T151500,2023-03-14,v2,11,False
CAMHDA301-20230314T211500,2023-03-14,v2,10,False
CAMHDA301-20230321T001500,2023-03-21,v2,15,False
CAMHDA301-20230321T031500,2023-03-21,v2,10,False
CAMHDA301-20230321T061500,2023-03-21,v2,13,False
CAMHDA301-20230321T091500,2023-03-21,v2,6,False
CAMHDA301-20230321T121500,2023-03-21,v2,7,False
CAMHDA301-20230321T181500,2023-03-21,v2,7,False
CAMHDA301-20230328T001500,2023-03-28,v2,8,False
CAMHDA301-20230328T031500,2023-03-28,v2,7,False
CAMHDA301-20230328T091500,2023-03-28,v2,4,False
CAMHDA301-20230328T121500,2023-03-28,v2,6,False
